action_id,account_id,action_type,reason_summary,taken_by,taken_at,related_investigation_id
ACT-00001,ACC-000633,manual_review,Insider activity response — resolved after review.,m.chen,2026-02-28 05:43:09,INV-00104
ACT-00002,ACC-000476,manual_review,Multiple high-severity signals — awaiting customer response.,r.kowalski,2026-02-09 21:21:30,
ACT-00003,ACC-000500,forced_password_reset,Multiple high-severity signals — resolved after review.,r.kowalski,2026-05-08 13:52:02,
ACT-00004,ACC-001998,forced_password_reset,Policy violation — awaiting customer response.,s.delgado,2026-05-26 21:06:00,
ACT-00005,ACC-001349,mfa_enforced,Account takeover response — pending verification.,s.delgado,2026-02-08 11:48:19,INV-00248
ACT-00006,ACC-001312,session_revoked,Customer-reported compromise — temporary protective measure.,m.chen,2026-02-24 17:34:38,
ACT-00007,ACC-001009,account_suspended,Malware delivery response — pending verification.,p.novak,2026-04-05 13:38:18,INV-00067
ACT-00008,ACC-000656,external_sharing_disabled,Data exfiltration response — pending verification.,t.ibrahim,2026-02-03 01:08:44,INV-00159
ACT-00009,ACC-001218,account_suspended,Linked to active campaign — pending verification.,r.kowalski,2026-04-02 16:52:15,
ACT-00010,ACC-001398,session_revoked,Linked to active campaign — resolved after review.,m.chen,2026-04-27 02:59:40,
ACT-00011,ACC-000213,manual_review,Data exfiltration response — temporary protective measure.,c.ramirez,2026-04-13 17:27:02,INV-00131
ACT-00012,ACC-000093,manual_review,Phishing wave response — resolved after review.,t.ibrahim,2026-02-16 23:10:59,INV-00267
ACT-00013,ACC-001914,session_revoked,Account takeover response — temporary protective measure.,r.kowalski,2026-02-21 09:32:04,INV-00009
ACT-00014,ACC-000991,external_sharing_disabled,Data exfiltration response — resolved after review.,m.chen,2026-02-09 14:24:02,INV-00280
ACT-00015,ACC-000372,manual_review,Phishing wave response — pending verification.,a.okafor,2026-02-03 02:29:34,INV-00319
ACT-00016,ACC-001792,session_revoked,Elevated risk score — resolved after review.,t.ibrahim,2026-05-29 14:56:12,
ACT-00017,ACC-001857,rate_limited,Multiple high-severity signals — awaiting customer response.,s.delgado,2026-04-07 11:04:33,
ACT-00018,ACC-001846,rate_limited,Credential stuffing response — pending verification.,r.kowalski,2026-03-06 14:57:23,INV-00216
ACT-00019,ACC-001325,forced_password_reset,Multiple high-severity signals — resolved after review.,s.delgado,2026-04-03 07:06:32,
ACT-00020,ACC-001601,manual_review,Data exfiltration response — temporary protective measure.,c.ramirez,2026-02-16 03:10:07,INV-00142
ACT-00021,ACC-000023,external_sharing_disabled,Data exfiltration response — pending verification.,j.fletcher,2026-04-12 21:15:13,INV-00266
ACT-00022,ACC-000594,forced_password_reset,Elevated risk score — awaiting customer response.,c.ramirez,2026-04-17 10:12:08,
ACT-00023,ACC-001637,external_sharing_disabled,Customer-reported compromise — resolved after review.,m.chen,2026-04-30 07:56:01,
ACT-00024,ACC-000997,external_sharing_disabled,Data exfiltration response — resolved after review.,c.ramirez,2026-02-02 07:41:07,INV-00021
ACT-00025,ACC-001521,manual_review,Elevated risk score — resolved after review.,c.ramirez,2026-03-27 05:12:26,
ACT-00026,ACC-001711,forced_password_reset,Linked to active campaign — awaiting customer response.,s.delgado,2026-02-05 14:34:26,
ACT-00027,ACC-001917,external_sharing_disabled,Insider activity response — temporary protective measure.,r.kowalski,2026-05-28 17:34:44,INV-00042
ACT-00028,ACC-001144,external_sharing_disabled,Multiple high-severity signals — temporary protective measure.,r.kowalski,2026-05-28 18:59:52,
