campaign_id,campaign_name,actor_id,target_sector,mitre_ttps,severity,status,start_date,end_date
CMP-0001,Operation Pale Drift,TA-0006,Retail,T1567 Exfil to Cloud; T1566 Phishing,medium,closed,2024-08-08,2025-01-15
CMP-0002,Operation Amber Vault,TA-0032,SaaS / Cloud Storage,T1136 Create Account; T1566 Phishing; T1530 Data from Cloud Storage,low,contained,2025-01-02,2025-06-06
CMP-0003,Operation Velvet Spire,TA-0035,SaaS / Cloud Storage,T1098 Account Manipulation; T1621 MFA Request Generation; T1530 Data from Cloud Storage; T1486 Data Encrypted for Impact,critical,closed,2025-04-30,2025-07-02
CMP-0004,Operation Amber Vault,TA-0025,Retail,T1621 MFA Request Generation; T1110 Brute Force; T1136 Create Account; T1539 Steal Session Cookie,low,active,2025-11-26,
CMP-0005,Operation Frost Vault,TA-0040,Manufacturing,T1539 Steal Session Cookie; T1486 Data Encrypted for Impact,critical,monitoring,2025-11-18,
CMP-0006,Operation Pale Harvest,TA-0028,Education,T1098 Account Manipulation; T1621 MFA Request Generation; T1136 Create Account; T1530 Data from Cloud Storage,low,active,2024-11-09,
CMP-0007,Operation Silent Falcon,TA-0004,Financial Services,T1566 Phishing; T1539 Steal Session Cookie; T1621 MFA Request Generation; T1136 Create Account,high,contained,2024-10-20,
CMP-0008,Operation Onyx Cascade,TA-0040,Media,T1621 MFA Request Generation; T1098 Account Manipulation; T1567 Exfil to Cloud,medium,active,2025-06-10,
CMP-0009,Operation Iron Lantern,TA-0035,Education,T1059 Command and Scripting; T1530 Data from Cloud Storage; T1078 Valid Accounts,medium,active,2024-09-06,2024-12-26
CMP-0010,Operation Onyx Echo,TA-0034,Retail,T1486 Data Encrypted for Impact; T1078 Valid Accounts; T1566 Phishing,high,monitoring,2025-11-21,2026-05-02
CMP-0011,Operation Hollow Drift,TA-0029,Energy,T1078 Valid Accounts; T1567 Exfil to Cloud; T1566 Phishing,low,contained,2026-04-29,2026-06-01
CMP-0012,Operation Granite Cascade,TA-0033,Energy,T1136 Create Account; T1566 Phishing,high,closed,2024-09-02,
CMP-0013,Operation Hollow Spire,TA-0026,Manufacturing,T1530 Data from Cloud Storage; T1110 Brute Force,high,contained,2024-09-23,2024-10-12
CMP-0014,Operation Velvet Spire,TA-0031,SaaS / Cloud Storage,T1136 Create Account; T1098 Account Manipulation; T1621 MFA Request Generation; T1566 Phishing,medium,monitoring,2024-11-28,2025-03-19
CMP-0015,Operation Iron Drift,TA-0007,Government,T1567 Exfil to Cloud; T1110 Brute Force,medium,closed,2024-09-03,
CMP-0016,Operation Pale Harvest,TA-0015,Technology,T1078 Valid Accounts; T1059 Command and Scripting; T1621 MFA Request Generation; T1136 Create Account,critical,closed,2025-06-22,
CMP-0017,Operation Hollow Anvil,TA-0007,Technology,T1136 Create Account; T1530 Data from Cloud Storage; T1539 Steal Session Cookie,low,contained,2026-04-22,2026-06-01
CMP-0018,Operation Velvet Vault,TA-0005,Media,T1136 Create Account; T1110 Brute Force; T1567 Exfil to Cloud; T1530 Data from Cloud Storage,high,active,2024-12-14,
CMP-0019,Operation Crimson Tide,TA-0029,Government,T1110 Brute Force; T1539 Steal Session Cookie; T1078 Valid Accounts; T1486 Data Encrypted for Impact,medium,contained,2025-08-08,
CMP-0020,Operation Pale Harvest,TA-0011,Healthcare,T1110 Brute Force; T1136 Create Account; T1098 Account Manipulation; T1539 Steal Session Cookie,critical,active,2026-02-17,2026-05-30
