incident_id,created_at,narrative,indicator_value,indicator_type,account_id,status,scenario_label
INC-00001,2026-05-15 02:49:31,Alert on account ACC-001736 (Consumer / Southeast Asia): observed malware_callback. Flagged indicator https://drive.google.com/uc?export=download&id=1aeWamA0wM7R784YwjZ_mTkLW4KgckWxY (url) in associated telemetry; suspected GuLoader activity. Severity medium. Awaiting triage.,https://drive.google.com/uc?export=download&id=1aeWamA0wM7R784YwjZ_mTkLW4KgckWxY,url,ACC-001736,new,malware_delivery
INC-00002,2026-05-30 17:20:04,Alert on account ACC-001597 (Consumer / West Africa): observed suspicious_oauth_grant. Source indicator update-files.co (domain) in associated telemetry. Severity critical. Awaiting triage.,update-files.co,domain,ACC-001597,new,phishing_wave
INC-00003,2026-05-22 09:09:00,Alert on account ACC-001615 (Reseller / East Asia): observed mass_file_download and anomalous_share_external. Source indicator cdn-portal.io (domain) in associated telemetry. Severity low. Awaiting triage.,cdn-portal.io,domain,ACC-001615,new,data_exfiltration
INC-00004,2026-05-12 23:42:44,Alert on account ACC-000878 (Education / West Africa): observed new_device_burst and geo_velocity and mfa_fatigue. Source indicator 247.36.99.183 (ipv4) in associated telemetry. Severity low. Awaiting triage.,247.36.99.183,ipv4,ACC-000878,new,benign
INC-00005,2026-05-29 18:18:08,Alert on account ACC-000164 (Reseller / South Asia): observed api_token_abuse and bulk_account_creation. Source indicator 24.52.165.192 (ipv4) in associated telemetry. Severity high. Awaiting triage.,24.52.165.192,ipv4,ACC-000164,new,api_token_abuse
INC-00006,2026-05-23 01:02:23,Alert on account ACC-000030 (Reseller / Unknown): observed new_device_burst and geo_velocity and anomalous_share_external. Source indicator 238.13.127.211 (ipv4) in associated telemetry. Severity low. Awaiting triage.,238.13.127.211,ipv4,ACC-000030,new,benign
INC-00007,2026-05-18 03:52:27,Alert on account ACC-000708 (Mid-Market / East Asia): observed credential_stuffing and geo_velocity. Source indicator 226.126.80.104 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,226.126.80.104,ipv4,ACC-000708,new,credential_stuffing
INC-00008,2026-05-31 03:22:56,Alert on account ACC-001597 (Consumer / West Africa): observed api_token_abuse and bulk_account_creation. Source indicator 154.183.205.7 (ipv4) in associated telemetry. Severity high. Awaiting triage.,154.183.205.7,ipv4,ACC-001597,new,api_token_abuse
INC-00009,2026-05-12 22:34:41,Alert on account ACC-001726 (Mid-Market / South Asia): observed malware_callback. Flagged indicator http://150.40.127.154/FBI.mipsel (url) in associated telemetry; suspected Gafgyt activity. Severity critical. Awaiting triage.,http://150.40.127.154/FBI.mipsel,url,ACC-001726,new,malware_delivery
INC-00010,2026-05-28 14:03:58,Alert on account ACC-001620 (SMB / North America): observed malware_callback. Flagged indicator http://120.28.193.170:35442/i (url) in associated telemetry; suspected Mirai activity. Severity low. Awaiting triage.,http://120.28.193.170:35442/i,url,ACC-001620,new,malware_delivery
INC-00011,2026-05-25 02:22:22,Alert on account ACC-000939 (Education / East Asia): observed api_token_abuse and bulk_account_creation. Source indicator 201.49.230.199 (ipv4) in associated telemetry. Severity high. Awaiting triage.,201.49.230.199,ipv4,ACC-000939,new,api_token_abuse
INC-00012,2026-06-01 14:06:50,Alert on account ACC-000510 (Education / Southeast Asia): observed suspicious_oauth_grant. Source indicator login-auth.io (domain) in associated telemetry. Severity medium. Awaiting triage.,login-auth.io,domain,ACC-000510,new,phishing_wave
INC-00013,2026-05-18 23:20:11,Alert on account ACC-001707 (Enterprise / East Asia): observed credential_stuffing and geo_velocity. Source indicator 115.125.248.102 (ipv4) in associated telemetry. Severity low. Awaiting triage.,115.125.248.102,ipv4,ACC-001707,new,credential_stuffing
INC-00014,2026-06-01 01:14:22,Alert on account ACC-001159 (SMB / East Asia): observed malware_callback and mass_file_download. Flagged indicator https://drive.google.com/uc?export=download&id=1K__K_WYQNKy1fCdP3ics5n6P-RgtfhDy (url) in associated telemetry; suspected RemcosRAT activity. Severity medium. Awaiting triage.,https://drive.google.com/uc?export=download&id=1K__K_WYQNKy1fCdP3ics5n6P-RgtfhDy,url,ACC-001159,new,malware_delivery
INC-00015,2026-05-21 16:10:35,Alert on account ACC-000426 (Mid-Market / Eastern Europe): observed suspicious_oauth_grant. Source indicator vault-share.io (domain) in associated telemetry. Severity critical. Awaiting triage.,vault-share.io,domain,ACC-000426,new,phishing_wave
INC-00016,2026-05-31 04:49:24,Alert on account ACC-000938 (SMB / Southeast Asia): observed credential_stuffing and geo_velocity. Source indicator 1.94.140.241 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,1.94.140.241,ipv4,ACC-000938,new,credential_stuffing
INC-00017,2026-05-25 21:58:26,Alert on account ACC-000500 (Reseller / Middle East): observed impossible_travel and mfa_fatigue. Source indicator 247.192.8.203 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,247.192.8.203,ipv4,ACC-000500,new,account_takeover
INC-00018,2026-05-30 06:09:15,Alert on account ACC-000420 (Mid-Market / Southeast Asia): observed api_token_abuse and bulk_account_creation. Source indicator 205.44.204.57 (ipv4) in associated telemetry. Severity high. Awaiting triage.,205.44.204.57,ipv4,ACC-000420,new,api_token_abuse
INC-00019,2026-05-11 22:42:38,Alert on account ACC-001431 (SMB / West Africa): observed malware_callback. Flagged indicator http://61.53.75.175:58428/i (url) in associated telemetry; suspected Mozi activity. Severity high. Awaiting triage.,http://61.53.75.175:58428/i,url,ACC-001431,new,malware_delivery
INC-00020,2026-05-12 07:56:13,Alert on account ACC-000574 (Enterprise / East Asia): observed mfa_fatigue. Source indicator 199.142.13.12 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,199.142.13.12,ipv4,ACC-000574,new,account_takeover
INC-00021,2026-05-19 05:39:43,Alert on account ACC-001633 (Consumer / South Asia): observed api_token_abuse and bulk_account_creation. Source indicator 174.59.107.151 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,174.59.107.151,ipv4,ACC-001633,new,api_token_abuse
INC-00022,2026-05-25 22:28:32,Alert on account ACC-001950 (Consumer / Eastern Europe): observed mass_file_download. Source indicator vault-share.net (domain) in associated telemetry. Severity medium. Awaiting triage.,vault-share.net,domain,ACC-001950,new,data_exfiltration
INC-00023,2026-05-18 01:52:41,Alert on account ACC-000477 (Consumer / Middle East): observed off_hours_admin and data_staging. Source indicator secure-files.io (domain) in associated telemetry. Severity high. Awaiting triage.,secure-files.io,domain,ACC-000477,new,insider_activity
INC-00024,2026-05-13 18:51:41,Alert on account ACC-000932 (Education / Eastern Europe): observed mass_file_download and anomalous_share_external and geo_velocity. Source indicator login-files.com (domain) in associated telemetry. Severity medium. Awaiting triage.,login-files.com,domain,ACC-000932,new,data_exfiltration
INC-00025,2026-05-21 10:50:41,Alert on account ACC-000581 (Reseller / North America): observed off_hours_admin. Source indicator login-share.io (domain) in associated telemetry. Severity low. Awaiting triage.,login-share.io,domain,ACC-000581,new,insider_activity
INC-00026,2026-05-17 19:21:49,Alert on account ACC-000403 (Reseller / South Asia): observed suspicious_oauth_grant and mfa_fatigue. Source indicator secure-files.com (domain) in associated telemetry. Severity low. Awaiting triage.,secure-files.com,domain,ACC-000403,new,phishing_wave
INC-00027,2026-05-27 13:49:49,Alert on account ACC-001438 (Enterprise / Unknown): observed suspicious_oauth_grant. Source indicator vault-portal.net (domain) in associated telemetry. Severity low. Awaiting triage.,vault-portal.net,domain,ACC-001438,new,phishing_wave
INC-00028,2026-05-13 19:00:58,Alert on account ACC-001472 (Education / Southeast Asia): observed suspicious_oauth_grant. Source indicator vault-portal.com (domain) in associated telemetry. Severity medium. Awaiting triage.,vault-portal.com,domain,ACC-001472,new,phishing_wave
INC-00029,2026-05-27 19:03:40,Alert on account ACC-000633 (Enterprise / West Africa): observed new_device_burst and geo_velocity. Source indicator 247.139.232.127 (ipv4) in associated telemetry. Severity low. Awaiting triage.,247.139.232.127,ipv4,ACC-000633,new,benign
INC-00030,2026-05-20 15:38:03,Alert on account ACC-000080 (Consumer / Middle East): observed suspicious_oauth_grant. Source indicator login-share.net (domain) in associated telemetry. Severity medium. Awaiting triage.,login-share.net,domain,ACC-000080,new,phishing_wave
INC-00031,2026-05-22 12:57:22,Alert on account ACC-000501 (Consumer / Eastern Europe): observed new_device_burst and geo_velocity and data_staging. Source indicator 58.163.107.215 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,58.163.107.215,ipv4,ACC-000501,new,benign
INC-00032,2026-05-20 09:47:34,Alert on account ACC-000409 (Reseller / Eastern Europe): observed impossible_travel and mfa_fatigue and credential_stuffing. Source indicator 90.163.103.111 (ipv4) in associated telemetry. Severity high. Awaiting triage.,90.163.103.111,ipv4,ACC-000409,new,account_takeover
INC-00033,2026-05-22 04:04:38,Alert on account ACC-001768 (Reseller / East Asia): observed suspicious_oauth_grant. Source indicator dropbox-files.com (domain) in associated telemetry. Severity medium. Awaiting triage.,dropbox-files.com,domain,ACC-001768,new,phishing_wave
INC-00034,2026-05-15 13:30:05,Alert on account ACC-001042 (Education / East Asia): observed suspicious_oauth_grant. Source indicator update-share.net (domain) in associated telemetry. Severity low. Awaiting triage.,update-share.net,domain,ACC-001042,new,phishing_wave
INC-00035,2026-05-27 22:49:36,Alert on account ACC-001784 (SMB / Eastern Europe): observed suspicious_oauth_grant. Source indicator cdn-sync.io (domain) in associated telemetry. Severity critical. Awaiting triage.,cdn-sync.io,domain,ACC-001784,new,phishing_wave
INC-00036,2026-05-14 01:42:57,Alert on account ACC-000252 (Enterprise / East Asia): observed api_token_abuse and bulk_account_creation. Source indicator 224.27.178.56 (ipv4) in associated telemetry. Severity low. Awaiting triage.,224.27.178.56,ipv4,ACC-000252,new,api_token_abuse
INC-00037,2026-05-19 09:03:55,Alert on account ACC-000861 (Education / Middle East): observed suspicious_oauth_grant. Source indicator dropbox-share.co (domain) in associated telemetry. Severity critical. Awaiting triage.,dropbox-share.co,domain,ACC-000861,new,phishing_wave
INC-00038,2026-05-16 04:40:53,Alert on account ACC-001494 (Consumer / West Africa): observed impossible_travel and mfa_fatigue. Source indicator 215.28.44.73 (ipv4) in associated telemetry. Severity high. Awaiting triage.,215.28.44.73,ipv4,ACC-001494,new,account_takeover
INC-00039,2026-05-20 04:36:46,Alert on account ACC-001950 (Consumer / Eastern Europe): observed api_token_abuse and bulk_account_creation. Source indicator 35.133.54.193 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,35.133.54.193,ipv4,ACC-001950,new,api_token_abuse
INC-00040,2026-05-17 16:44:16,Alert on account ACC-001172 (Education / Middle East): observed impossible_travel and mfa_fatigue. Source indicator 6.231.125.74 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,6.231.125.74,ipv4,ACC-001172,new,account_takeover
INC-00041,2026-05-18 05:46:02,Alert on account ACC-001597 (Consumer / West Africa): observed malware_callback and anomalous_share_external. Flagged indicator http://47.239.166.93:7858/dcd (url) in associated telemetry. Severity critical. Awaiting triage.,http://47.239.166.93:7858/dcd,url,ACC-001597,new,malware_delivery
INC-00042,2026-05-18 18:58:08,Alert on account ACC-001325 (SMB / Unknown): observed malware_callback. Flagged indicator http://115.48.55.193:46893/i (url) in associated telemetry; suspected Mozi activity. Severity medium. Awaiting triage.,http://115.48.55.193:46893/i,url,ACC-001325,new,malware_delivery
INC-00043,2026-05-24 19:40:59,Alert on account ACC-000729 (Education / Southeast Asia): observed geo_velocity. Source indicator 26.79.133.26 (ipv4) in associated telemetry. Severity high. Awaiting triage.,26.79.133.26,ipv4,ACC-000729,new,credential_stuffing
INC-00044,2026-05-12 16:48:00,Alert on account ACC-001793 (Reseller / South Asia): observed impossible_travel and mfa_fatigue. Source indicator 115.212.65.164 (ipv4) in associated telemetry. Severity low. Awaiting triage.,115.212.65.164,ipv4,ACC-001793,new,account_takeover
INC-00045,2026-05-27 00:31:02,Alert on account ACC-000799 (Reseller / East Asia): observed off_hours_admin and data_staging. Source indicator vault-portal.co (domain) in associated telemetry. Severity high. Awaiting triage.,vault-portal.co,domain,ACC-000799,new,insider_activity
INC-00046,2026-05-28 05:22:42,Alert on account ACC-000116 (Consumer / Middle East): observed anomalous_share_external and credential_stuffing. Source indicator update-files.co (domain) in associated telemetry. Severity low. Awaiting triage.,update-files.co,domain,ACC-000116,new,data_exfiltration
INC-00047,2026-05-13 18:35:44,Alert on account ACC-001432 (Consumer / Southeast Asia): observed new_device_burst and geo_velocity. Source indicator 52.138.48.242 (ipv4) in associated telemetry. Severity low. Awaiting triage.,52.138.48.242,ipv4,ACC-001432,new,benign
