score_id,account_id,score_date,risk_score,risk_band,model_version,top_signal
SCR-0000001,ACC-000374,2026-06-01,51,medium,risk-model-v3.2,anomalous_share_external
SCR-0000002,ACC-000374,2026-05-30,56,medium,risk-model-v3.4,anomalous_share_external
SCR-0000003,ACC-000374,2026-05-28,50,medium,risk-model-v3.3,anomalous_share_external
SCR-0000004,ACC-000374,2026-05-26,43,medium,risk-model-v3.2,anomalous_share_external
SCR-0000005,ACC-000374,2026-05-24,44,medium,risk-model-v3.2,anomalous_share_external
SCR-0000006,ACC-000374,2026-05-22,43,medium,risk-model-v3.3,anomalous_share_external
SCR-0000007,ACC-000374,2026-05-20,49,medium,risk-model-v3.2,anomalous_share_external
SCR-0000008,ACC-000374,2026-05-18,41,medium,risk-model-v3.4,anomalous_share_external
SCR-0000009,ACC-000374,2026-05-16,47,medium,risk-model-v3.4,anomalous_share_external
SCR-0000010,ACC-000374,2026-05-14,42,medium,risk-model-v3.2,anomalous_share_external
SCR-0000011,ACC-000374,2026-05-12,54,medium,risk-model-v3.2,anomalous_share_external
SCR-0000012,ACC-000374,2026-05-10,50,medium,risk-model-v3.2,anomalous_share_external
SCR-0000013,ACC-000374,2026-05-08,42,medium,risk-model-v3.4,anomalous_share_external
SCR-0000014,ACC-000374,2026-05-06,47,medium,risk-model-v3.3,anomalous_share_external
SCR-0000015,ACC-000374,2026-05-04,50,medium,risk-model-v3.3,anomalous_share_external
SCR-0000016,ACC-001080,2026-06-01,79,high,risk-model-v3.3,data_staging
SCR-0000017,ACC-001080,2026-05-31,84,high,risk-model-v3.4,data_staging
SCR-0000018,ACC-001080,2026-05-30,83,high,risk-model-v3.4,data_staging
SCR-0000019,ACC-001080,2026-05-29,82,high,risk-model-v3.2,data_staging
SCR-0000020,ACC-001080,2026-05-28,82,high,risk-model-v3.4,data_staging
SCR-0000021,ACC-001080,2026-05-27,78,high,risk-model-v3.2,data_staging
SCR-0000022,ACC-001080,2026-05-26,81,high,risk-model-v3.2,data_staging
SCR-0000023,ACC-001080,2026-05-25,75,high,risk-model-v3.4,data_staging
SCR-0000024,ACC-001080,2026-05-24,90,critical,risk-model-v3.2,data_staging
SCR-0000025,ACC-001080,2026-05-23,85,high,risk-model-v3.3,data_staging
SCR-0000026,ACC-001080,2026-05-22,78,high,risk-model-v3.2,data_staging
SCR-0000027,ACC-001080,2026-05-21,75,high,risk-model-v3.3,data_staging
SCR-0000028,ACC-001080,2026-05-20,78,high,risk-model-v3.2,data_staging
SCR-0000029,ACC-001080,2026-05-19,74,high,risk-model-v3.2,data_staging
SCR-0000030,ACC-001080,2026-05-18,87,high,risk-model-v3.4,data_staging
SCR-0000031,ACC-001080,2026-05-17,90,critical,risk-model-v3.4,data_staging
SCR-0000032,ACC-001080,2026-05-16,77,high,risk-model-v3.2,data_staging
SCR-0000033,ACC-001080,2026-05-15,89,high,risk-model-v3.2,data_staging
SCR-0000034,ACC-001080,2026-05-14,82,high,risk-model-v3.2,data_staging
SCR-0000035,ACC-001080,2026-05-13,82,high,risk-model-v3.4,data_staging
SCR-0000036,ACC-001080,2026-05-12,88,high,risk-model-v3.2,data_staging
SCR-0000037,ACC-001080,2026-05-11,85,high,risk-model-v3.4,data_staging
SCR-0000038,ACC-001080,2026-05-10,78,high,risk-model-v3.4,data_staging
SCR-0000039,ACC-001080,2026-05-09,78,high,risk-model-v3.4,data_staging
SCR-0000040,ACC-001080,2026-05-08,88,high,risk-model-v3.4,data_staging
SCR-0000041,ACC-001080,2026-05-07,76,high,risk-model-v3.2,data_staging
SCR-0000042,ACC-001080,2026-05-06,87,high,risk-model-v3.3,data_staging
SCR-0000043,ACC-001080,2026-05-05,77,high,risk-model-v3.2,data_staging
SCR-0000044,ACC-001080,2026-05-04,75,high,risk-model-v3.4,data_staging
SCR-0000045,ACC-001080,2026-05-03,87,high,risk-model-v3.3,data_staging
SCR-0000046,ACC-000806,2026-06-01,100,critical,risk-model-v3.3,geo_velocity
SCR-0000047,ACC-000806,2026-05-30,87,high,risk-model-v3.2,geo_velocity
SCR-0000048,ACC-000806,2026-05-28,98,critical,risk-model-v3.2,geo_velocity
SCR-0000049,ACC-000806,2026-05-26,93,critical,risk-model-v3.3,geo_velocity
SCR-0000050,ACC-000806,2026-05-24,100,critical,risk-model-v3.2,geo_velocity
SCR-0000051,ACC-000806,2026-05-22,87,high,risk-model-v3.2,geo_velocity
SCR-0000052,ACC-000806,2026-05-20,88,high,risk-model-v3.3,geo_velocity
SCR-0000053,ACC-000806,2026-05-18,90,critical,risk-model-v3.4,geo_velocity
SCR-0000054,ACC-000806,2026-05-16,88,high,risk-model-v3.4,geo_velocity
SCR-0000055,ACC-000806,2026-05-14,85,high,risk-model-v3.4,geo_velocity
SCR-0000056,ACC-000806,2026-05-12,93,critical,risk-model-v3.2,geo_velocity
SCR-0000057,ACC-000806,2026-05-10,91,critical,risk-model-v3.2,geo_velocity
SCR-0000058,ACC-000806,2026-05-08,93,critical,risk-model-v3.4,geo_velocity
SCR-0000059,ACC-000806,2026-05-06,85,high,risk-model-v3.3,geo_velocity
SCR-0000060,ACC-000806,2026-05-04,96,critical,risk-model-v3.2,geo_velocity
SCR-0000061,ACC-001038,2026-06-01,60,medium,risk-model-v3.2,data_staging
SCR-0000062,ACC-001038,2026-05-29,62,medium,risk-model-v3.3,data_staging
SCR-0000063,ACC-001038,2026-05-26,59,medium,risk-model-v3.3,data_staging
SCR-0000064,ACC-001038,2026-05-23,50,medium,risk-model-v3.3,data_staging
SCR-0000065,ACC-001038,2026-05-20,57,medium,risk-model-v3.4,data_staging
SCR-0000066,ACC-001038,2026-05-17,58,medium,risk-model-v3.3,data_staging
SCR-0000067,ACC-001038,2026-05-14,60,medium,risk-model-v3.4,data_staging
SCR-0000068,ACC-001038,2026-05-11,62,medium,risk-model-v3.3,data_staging
SCR-0000069,ACC-001038,2026-05-08,61,medium,risk-model-v3.2,data_staging
