indicator_id,indicator_value,urlhaus_type,host,url_status,threat,tags,family,payload_file_type,payload_md5,payload_sha256,urlhaus_reference,date_added
IOC-003201,0xln2imp.yekbetiran.com,host,0xln2imp.yekbetiran.com,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003202,103.101.85.165,host,103.101.85.165,,malware_download,lnk;opendir;WsgiDAV,Generic,,,,,2026-06-10
IOC-003203,103.101.85.173,host,103.101.85.173,,malware_download,lnk;opendir;WsgiDAV,Generic,,,,,2026-06-10
IOC-003204,103.136.137.73,host,103.136.137.73,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003205,104.143.206.116,host,104.143.206.116,,malware_download,mirai;opendir,Mirai,,,,,2026-06-10
IOC-003206,107.172.13.211,host,107.172.13.211,,malware_download,,Generic,,,,,2026-06-10
IOC-003207,110.186.230.50,host,110.186.230.50,,malware_download,mirai,Mirai,,,,,2026-06-10
IOC-003208,110.246.87.147,host,110.246.87.147,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003209,110.36.1.200,host,110.36.1.200,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003210,110.36.15.1,host,110.36.15.1,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003211,110.36.2.23,host,110.36.2.23,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003212,110.36.26.86,host,110.36.26.86,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003213,110.36.28.183,host,110.36.28.183,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003214,110.36.65.9,host,110.36.65.9,,malware_download,Mozi,Mozi,,,,,2026-06-11
IOC-003215,110.36.72.57,host,110.36.72.57,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003216,110.36.77.15,host,110.36.77.15,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003217,110.36.77.19,host,110.36.77.19,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003218,110.36.80.171,host,110.36.80.171,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003219,110.36.93.182,host,110.36.93.182,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003220,110.37.107.203,host,110.37.107.203,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003221,110.37.14.156,host,110.37.14.156,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003222,110.37.39.32,host,110.37.39.32,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003223,110.39.226.207,host,110.39.226.207,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003224,110.39.228.163,host,110.39.228.163,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003225,110.39.235.164,host,110.39.235.164,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003226,110.39.238.26,host,110.39.238.26,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003227,110.39.238.29,host,110.39.238.29,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003228,110.85.111.175,host,110.85.111.175,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-11
IOC-003229,112.227.251.132,host,112.227.251.132,,malware_download,mirai,Mirai,,,,,2026-06-10
IOC-003230,112.248.187.76,host,112.248.187.76,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003231,112.255.239.254,host,112.255.239.254,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003232,112.93.136.109,host,112.93.136.109,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003233,112.93.137.140,host,112.93.137.140,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003234,112.93.137.207,host,112.93.137.207,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003235,112.93.138.197,host,112.93.138.197,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003236,112.93.138.2,host,112.93.138.2,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003237,112.93.138.255,host,112.93.138.255,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003238,112.93.138.64,host,112.93.138.64,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003239,112.93.139.180,host,112.93.139.180,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003240,113.239.67.66,host,113.239.67.66,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003241,115.225.1.54,host,115.225.1.54,,malware_download,mirai,Mirai,,,,,2026-06-11
IOC-003242,115.48.55.193,host,115.48.55.193,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003243,115.49.77.90,host,115.49.77.90,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
