indicator_id,indicator_type,indicator_value,campaign_id,confidence,tlp,source,source_sensitivity,first_seen,last_seen,is_active
IOC-000001,filename,invoice_urgent.pdf.exe,CMP-0092,55,TLP:RED,Recorded Future,public,2025-08-29,2025-10-10,False
IOC-000002,sha256,be5b9f239719b5c533b5de9ca5c3c14c28c23f64457ad549949fd6e9c561d83d,CMP-0142,64,TLP:AMBER,Abuse.ch,partner,2026-03-27,2026-05-08,False
IOC-000003,domain,cdn-files.net,CMP-0120,67,TLP:GREEN,Mandiant,partner,2025-03-14,2025-04-22,True
IOC-000004,domain,dropbox-portal.co,CMP-0029,66,TLP:AMBER,ISAC Share,public,2025-09-17,2025-10-24,False
IOC-000005,md5,7b30cac6863554837a14a97e605011b7,CMP-0138,71,TLP:GREEN,Mandiant,confidential,2025-01-14,2025-03-09,False
IOC-000006,filename,update_urgent.docm,CMP-0096,83,TLP:CLEAR,Abuse.ch,partner,2025-09-14,2025-09-17,True
IOC-000007,sha256,54be6c9539a793c2d1c1ca0b34b840b8eed534eda57d861380244c3633b214d3,CMP-0144,51,TLP:AMBER,CrowdStrike Falcon X,confidential,2025-06-08,2025-07-22,True
IOC-000008,sha256,7c6d2233599f3faf059dabf9ac0d87aff01e9a82c9cf3d4df77a0327ff0a10ea,CMP-0056,76,TLP:AMBER,Confidential HUMINT,restricted,2026-01-06,2026-01-16,True
IOC-000009,domain,update-share.com,CMP-0053,61,TLP:RED,Internal Honeypot,public,2026-01-12,2026-03-04,True
IOC-000010,domain,vault-share.co,CMP-0091,59,TLP:RED,ISAC Share,restricted,2025-01-28,2025-03-13,True
IOC-000011,filename,report_2026.zip,CMP-0053,73,TLP:RED,ISAC Share,confidential,2025-02-01,2025-03-02,True
IOC-000012,email,admin@dropbox-team.com,CMP-0025,74,TLP:AMBER,OSINT Crawler,public,2025-07-15,2025-07-31,False
IOC-000013,email,it-support@acct-verify.com,CMP-0141,58,TLP:CLEAR,CrowdStrike Falcon X,public,2026-05-07,2026-06-01,False
IOC-000014,filename,report-final.lnk,CMP-0099,74,TLP:GREEN,CrowdStrike Falcon X,partner,2025-05-03,2025-05-17,True
IOC-000015,email,it-support@acct-verify.com,CMP-0040,47,TLP:RED,Confidential HUMINT,restricted,2024-09-01,2024-10-21,False
IOC-000016,domain,cdn-portal.com,CMP-0100,73,TLP:RED,OSINT Crawler,restricted,2025-10-17,2025-11-07,False
IOC-000017,email,hr@acct-verify.com,CMP-0084,78,TLP:GREEN,Confidential HUMINT,confidential,2026-03-02,2026-04-04,True
IOC-000018,email,billing@dropbox-team.com,CMP-0062,58,TLP:GREEN,Confidential HUMINT,partner,2025-01-23,2025-03-07,True
IOC-000019,ipv4,238.37.9.191,CMP-0132,80,TLP:GREEN,Recorded Future,partner,2024-11-13,2024-11-17,False
IOC-000020,domain,update-files.net,CMP-0110,80,TLP:CLEAR,CrowdStrike Falcon X,public,2025-03-26,2025-04-03,True
IOC-000021,sha256,bd35b6071d8e0c331e8fa6b0832bda518bb4a48e619f38c528dec2bda275d657,CMP-0088,66,TLP:CLEAR,OSINT Crawler,confidential,2025-07-06,2025-08-03,True
IOC-000022,domain,secure-share.co,CMP-0051,68,TLP:GREEN,Mandiant,public,2025-05-09,2025-05-11,True
IOC-000023,url,https://static.evilcdn.com/8eb4e184,CMP-0052,87,TLP:AMBER,Internal Honeypot,confidential,2025-07-21,2025-09-05,True
IOC-000024,filename,resume_2026.zip,CMP-0009,77,TLP:CLEAR,Mandiant,confidential,2025-02-13,2025-03-08,False
IOC-000025,ipv4,74.43.139.251,CMP-0112,77,TLP:RED,Confidential HUMINT,restricted,2025-07-04,2025-07-31,False
IOC-000026,domain,secure-sync.io,CMP-0034,62,TLP:GREEN,CrowdStrike Falcon X,restricted,2026-03-25,2026-03-31,False
IOC-000027,email,admin@secure-mail.com,CMP-0077,47,TLP:CLEAR,VirusTotal,confidential,2026-03-08,2026-03-15,True
IOC-000028,filename,report_2026.iso,CMP-0066,58,TLP:AMBER,ISAC Share,confidential,2025-09-18,2025-10-26,True
IOC-000029,url,https://static.badhost.com/a7cee936,CMP-0002,99,TLP:RED,Recorded Future,restricted,2025-02-01,2025-03-01,True
IOC-000030,domain,vault-share.net,CMP-0018,42,TLP:AMBER,Recorded Future,partner,2025-05-23,2025-06-21,True
IOC-000031,sha256,c2d96dc992bde76bc9556ef0bf828c0c26572ef79adcc31144fb058bd15e9998,CMP-0100,49,TLP:CLEAR,CrowdStrike Falcon X,partner,2025-04-28,2025-05-12,False
IOC-000032,domain,login-sync.io,CMP-0062,62,TLP:AMBER,Internal Honeypot,restricted,2024-07-23,2024-08-14,False
IOC-000033,ipv4,251.124.219.114,CMP-0013,42,TLP:RED,CrowdStrike Falcon X,confidential,2025-09-23,2025-09-28,True
IOC-000034,url,https://static.badhost.com/90630aa2,CMP-0138,50,TLP:RED,Mandiant,confidential,2025-11-19,2025-12-13,False
IOC-000035,email,no-reply@dropbox-team.com,CMP-0078,43,TLP:AMBER,VirusTotal,partner,2024-11-27,2025-01-25,True
IOC-000036,email,it-support@dropbox-team.com,CMP-0115,99,TLP:GREEN,Mandiant,partner,2026-04-02,2026-05-03,False
IOC-000037,url,https://static.badhost.com/1961cd93,CMP-0073,52,TLP:CLEAR,Confidential HUMINT,confidential,2024-09-06,2024-09-27,False
IOC-000038,domain,login-files.co,CMP-0112,92,TLP:RED,Internal Honeypot,public,2025-09-18,2025-10-11,False
IOC-000039,url,https://files.badhost.com/8fdff6ef,CMP-0135,86,TLP:RED,CrowdStrike Falcon X,public,2025-01-02,2025-02-16,True
IOC-000040,filename,update-final.lnk,CMP-0007,87,TLP:RED,Recorded Future,public,2025-12-17,2026-01-08,False
IOC-000041,sha256,952b12346642ea9f5cff96c817825f1141ef566380b2c854a280b1b194b69e45,CMP-0002,49,TLP:GREEN,Mandiant,restricted,2025-10-20,2025-11-12,True
IOC-000042,url,https://static.evilcdn.com/4220e212,CMP-0005,91,TLP:AMBER,CrowdStrike Falcon X,partner,2024-08-03,2024-10-02,True
IOC-000043,sha256,b6282e8f006c617acdf34c1254846902be87e371f79edb6424f9f2f6ea961786,CMP-0032,50,TLP:GREEN,Confidential HUMINT,partner,2025-06-23,2025-08-19,False
IOC-000044,sha256,81277f9ce7afaf794aa354ebb3159e97d5b88eeff333c19ddd88eb611f78381e,CMP-0077,42,TLP:CLEAR,Internal Honeypot,restricted,2025-01-25,2025-03-18,False
IOC-000045,filename,report_2026.iso,CMP-0042,92,TLP:CLEAR,CrowdStrike Falcon X,restricted,2026-05-23,2026-06-01,True
IOC-000046,ipv4,113.97.85.231,CMP-0130,78,TLP:GREEN,Mandiant,confidential,2026-05-14,2026-06-01,True
IOC-000047,domain,dropbox-auth.net,CMP-0121,85,TLP:CLEAR,Confidential HUMINT,restricted,2025-11-29,2025-12-31,True
