signal_id,account_id,signal_type,signal_value,weight,observed_at
SIG-0000001,ACC-000374,anomalous_share_external,0.172,2.68,2026-04-24 06:10:37
SIG-0000002,ACC-000374,anomalous_share_external,0.788,0.8,2026-05-28 13:04:55
SIG-0000003,ACC-000374,anomalous_share_external,0.185,2.6,2026-04-23 10:00:21
SIG-0000004,ACC-000374,malware_callback,0.846,2.2,2026-04-13 15:54:57
SIG-0000005,ACC-000374,mfa_fatigue,0.588,4.5,2026-05-31 21:09:37
SIG-0000006,ACC-000374,impossible_travel,0.5,0.99,2026-04-10 02:45:51
SIG-0000007,ACC-000374,anomalous_share_external,0.646,3.1,2026-04-23 21:45:24
SIG-0000008,ACC-001080,data_staging,0.142,3.48,2026-03-28 05:34:09
SIG-0000009,ACC-001080,credential_stuffing,0.75,2.94,2026-04-15 18:57:23
SIG-0000010,ACC-000806,api_token_abuse,0.631,2.94,2026-04-27 05:18:59
SIG-0000011,ACC-000806,geo_velocity,0.824,4.86,2026-05-07 20:46:33
SIG-0000012,ACC-000806,new_device_burst,0.924,2.97,2026-05-05 15:51:09
SIG-0000013,ACC-000806,bulk_account_creation,0.835,3.93,2026-03-07 15:38:58
SIG-0000014,ACC-000806,geo_velocity,0.859,3.36,2026-05-14 13:29:45
SIG-0000015,ACC-000806,malware_callback,0.931,4.34,2026-04-02 06:30:53
SIG-0000016,ACC-001038,anomalous_share_external,0.475,0.88,2026-04-30 04:14:36
SIG-0000017,ACC-001038,data_staging,0.197,3.85,2026-04-22 08:42:23
SIG-0000018,ACC-001038,api_token_abuse,0.851,1.57,2026-04-03 19:03:31
SIG-0000019,ACC-001038,credential_stuffing,0.67,4.46,2026-03-06 01:22:34
SIG-0000020,ACC-001038,api_token_abuse,0.357,0.59,2026-04-21 04:43:58
SIG-0000021,ACC-001038,off_hours_admin,0.422,4.17,2026-05-15 10:38:28
SIG-0000022,ACC-001038,new_device_burst,0.177,1.03,2026-04-12 07:10:48
SIG-0000023,ACC-001038,mfa_fatigue,0.238,3.69,2026-03-14 13:28:36
SIG-0000024,ACC-000789,data_staging,0.173,2.87,2026-03-27 08:07:57
SIG-0000025,ACC-000789,impossible_travel,0.574,1.63,2026-05-12 20:57:41
SIG-0000026,ACC-001857,mass_file_download,0.394,0.96,2026-04-09 19:10:08
SIG-0000027,ACC-001857,anomalous_share_external,0.826,2.55,2026-03-12 23:35:08
SIG-0000028,ACC-001857,suspicious_oauth_grant,0.564,4.48,2026-03-05 14:23:32
SIG-0000029,ACC-001857,api_token_abuse,0.871,2.77,2026-04-01 19:34:43
SIG-0000030,ACC-001857,anomalous_share_external,0.762,0.81,2026-03-14 18:55:29
SIG-0000031,ACC-001857,malware_callback,0.868,2.08,2026-05-19 11:15:51
SIG-0000032,ACC-001857,anomalous_share_external,0.828,0.99,2026-05-09 08:47:26
