investigation_id,title,analyst,related_account_id,status,severity,opened_at,closed_at,summary,detailed_notes,source_methods
INV-00001,Anomalous bulk export,s.delgado,,in_review,low,2025-09-17 23:02:30,,Reviewed low data exfiltration signal cluster; escalated to IR.,"Pivoted from Abuse.ch feed. Observed mass_file_download. Pulled the account risk score (band high); assessed blast radius across 1 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: sub-judice — legal hold.",Court-ordered log pull; collection method undercover channel.
INV-00002,Potential data exfiltration,a.okafor,ACC-000537,false_positive,medium,2025-12-11 06:57:06,,Investigated medium data exfiltration signal cluster; escalated to IR.,"Pivoted from CrowdStrike Falcon X feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band critical); assessed blast radius across 1 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.",Honeypot telemetry; collection method undercover channel.
INV-00003,Confirmed account takeover,r.kowalski,ACC-001127,escalated,high,2025-10-01 18:18:21,2025-10-17 04:19:05,Investigated high account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from VirusTotal feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band medium); assessed blast radius across 2 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: sub-judice — legal hold.",Internal EDR; collection method authenticated API audit.
INV-00004,API token abuse,j.fletcher,ACC-001608,in_review,low,2026-03-09 12:11:12,2026-06-01 02:37:10,Reviewed low api token abuse signal cluster; contained; token revoked.,"Pivoted from Abuse.ch feed. Observed api_token_abuse and bulk_account_creation. Pulled the account risk score (band low). Response: applied API rate limiting, revoked active sessions. Outcome: contained; token revoked. HUMINT note: do not disclose to partner orgs.",Internal EDR; collection method passive DNS.
INV-00005,Reported account takeover,s.delgado,ACC-001984,closed,high,2026-05-31 16:34:36,,Triaged high account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from VirusTotal feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band low); assessed blast radius across 4 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: sub-judice — legal hold.",Internal EDR; collection method endpoint memory capture.
INV-00006,Anomalous login reviewed,p.novak,ACC-000775,in_review,critical,2026-04-15 04:33:48,,Investigated critical benign signal cluster; closed as benign; false positive.,Pivoted from Mandiant feed. Observed geo_velocity. Pulled the account risk score (band medium). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: do not disclose to partner orgs.,Confidential partner feed; collection method endpoint memory capture.
INV-00007,Low-severity signal review,t.ibrahim,ACC-001720,open,critical,2025-09-24 12:18:45,,Investigated critical benign signal cluster; closed as benign; false positive.,Pivoted from Recorded Future feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band high). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: do not disclose to partner orgs.,Honeypot telemetry; collection method endpoint memory capture.
INV-00008,Brute-force login burst,c.ramirez,,open,critical,2026-02-02 03:19:52,2026-03-19 14:36:24,Investigated critical credential stuffing signal cluster; contained.,"Pivoted from OSINT Crawler feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band critical). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: source A reliability B2.",Honeypot telemetry; collection method endpoint memory capture.
INV-00009,Suspicious account takeover,p.novak,ACC-000707,open,medium,2025-06-14 19:49:22,2025-07-25 02:37:11,Investigated medium account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Abuse.ch feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band low); assessed blast radius across 1 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: source A reliability B2.",Court-ordered log pull; collection method passive DNS.
INV-00010,Credential abuse,c.ramirez,ACC-001142,closed,high,2025-11-14 23:39:34,2026-01-30 09:50:49,Investigated high credential stuffing signal cluster; contained.,"Pivoted from Confidential HUMINT feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band critical). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method passive DNS.
